#node	date	numeric date
NODE_0000000	1461-07-26	1461.566820
NODE_0000011	1570-12-14	1570.952925
NC_023676.1	2007-01-11	2007.028767
NODE_0000012	1913-07-21	1913.552156
NC_034384.1	2007-01-07	2007.017808
NODE_0000013	1954-05-22	1954.386354
NC_005092.1	2008-11-13	2008.867486
NC_003113.1	2000-11-23	2000.894809
NODE_0000010	1487-04-03	1487.252516
NODE_0000008	1537-01-26	1537.070461
NODE_0000009	1986-04-17	1986.292473
NC_025788.1	2007-01-09	2007.023288
NC_023627.1	2010-06-17	2010.458904
NODE_0000007	1711-08-31	1711.663460
NC_038302.1	1962-07-01	1962.497260
NODE_0000005	1740-04-10	1740.275275
NODE_0000006	1774-12-10	1774.940693
NC_025835.1	2007-01-04	2007.009589
NC_040675.1	2007-01-13	2007.034247
NODE_0000004	1807-08-04	1807.591426
NC_021566.1	2006-11-13	2006.867123
NODE_0000003	1833-05-19	1833.378999
OQ818339	2018-02-15	2018.124658
NODE_0000001	1899-05-21	1899.384646
NC_030886.1	2010-06-09	2010.436986
NODE_0000002	2001-06-12	2001.444860
OQ818335	2018-08-06	2018.595890
OQ818341	2018-07-27	2018.568493
NODE_0000014	1501-01-07	1501.016902
NODE_0000015	1645-01-17	1645.044762
NODE_0000016	1736-09-30	1736.747092
NC_033823.1	2012-01-13	2012.034153
NODE_0000017	1817-12-29	1817.994109
NC_014137.1	2001-11-07	2001.850685
NC_031338.1	2016-06-17	2016.460383
NODE_0000018	1798-02-12	1798.116481
NC_023022.1	2007-01-03	2007.006849
NODE_0000019	1966-10-17	1966.793361
NC_004830.2	2006-12-02	2006.919178
NC_006494.1	2003-07-03	2003.502740
NODE_0000020	1523-02-17	1523.129783
NODE_0000021	1537-02-28	1537.161103
NC_040601.1	2007-01-13	2007.034247
NODE_0000022	1549-05-04	1549.339648
NODE_0000023	1917-01-04	1917.009499
NC_040716.1	2004-01-17	2004.045082
NODE_0000024	1943-05-13	1943.363700
NC_040832.1	2015-12-17	2015.960274
NC_040574.1	2007-01-15	2007.039726
NODE_0000025	1560-05-08	1560.351113
NODE_0000026	1600-11-04	1600.843131
NC_016405.1	2011-01-10	2011.026027
NODE_0000027	1812-12-22	1812.975214
NC_027917.1	2002-02-15	2002.124658
NC_003781.1	1997-02-06	1997.100000
NODE_0000028	1600-07-21	1600.552918
NODE_0000029	1641-03-10	1641.188889
NC_038301.1	2012-11-29	2012.911202
NC_027128.1	2003-01-13	2003.034247
NODE_0000030	1634-12-01	1634.916329
NC_022611.1	2013-03-25	2013.228767
NC_002066.1	1998-09-17	1998.710959
NODE_0000031	1543-02-04	1543.094860
NODE_0000032	1602-02-10	1602.110999
NC_034217.1	2014-03-20	2014.215068
NODE_0000033	1864-06-25	1864.480915
NC_036585.1	2014-11-14	2014.869863
NODE_0000034	1993-09-25	1993.734082
NC_040646.1	2007-06-11	2007.442466
NC_040587.1	2007-01-14	2007.036986
NODE_0000035	1561-12-20	1561.968614
NODE_0000036	1607-01-17	1607.044533
NC_009530.1	2007-03-22	2007.220548
NC_036389.1	2010-01-10	2010.026027
NODE_0000037	1581-11-29	1581.910604
NODE_0000038	1800-09-09	1800.687987
NC_032087.1	2007-01-11	2007.028767
NODE_0000039	1853-06-28	1853.489669
NC_026733.1	2013-06-22	2013.472603
NC_040724.1	2013-07-21	2013.552055
NODE_0000040	1638-11-10	1638.859163
NC_021567.1	2010-02-17	2010.130137
NODE_0000041	1668-01-17	1668.044372
NC_031749.1	2001-01-15	2001.039726
NODE_0000042	1828-01-11	1828.028272
NC_033619.1	2014-10-21	2014.804110
NODE_0000043	1853-09-02	1853.669803
NC_024016.1	2007-01-11	2007.028767
NODE_0000044	1888-06-25	1888.482338
NODE_0000045	1905-01-18	1905.046630
NC_027713.1	2011-11-30	2011.913699
NC_024497.1	2010-10-08	2010.768493
NODE_0000046	1907-03-09	1907.184219
NC_026250.1	2007-01-12	2007.031507
NC_023483.1	2008-05-13	2008.364754
